year,state,number_and_capacity_mw_number_of_generators,number_and_capacity_mw_total_capacity,number_and_capacity_mw_capacity_back_up_only,number_and_capacity_mw_capacity_utility_owned,photovoltaic_mw_data_type,photovoltaic_mw_residential,photovoltaic_mw_commercial,photovoltaic_mw_industrial,photovoltaic_mw_transportation,photovoltaic_mw_direct_connected,photovoltaic_mw_total,battery_mw_residential,battery_mw_commercial,battery_mw_industrial,battery_mw_transportation,battery_mw_direct_connected,battery_mw_total,battery_energy_mwh_residential,battery_energy_mwh_commercial,battery_energy_mwh_industrial,battery_energy_mwh_transportation,battery_energy_mwh_direct_connected,battery_energy_mwh_total,wind_mw_residential,wind_mw_commercial,wind_mw_industrial,wind_mw_transportation,wind_mw_direct_connected,wind_mw_total,hydroelectric_mw_residential,hydroelectric_mw_commercial,hydroelectric_mw_industrial,hydroelectric_mw_transportation,hydroelectric_mw_direct_connected,hydroelectric_mw_total,fuel_cells_mw_residential,fuel_cells_mw_commercial,fuel_cells_mw_industrial,fuel_cells_mw_transportation,fuel_cells_mw_direct_connected,fuel_cells_mw_total,internal_combustion_mw_residential,internal_combustion_mw_commercial,internal_combustion_mw_industrial,internal_combustion_mw_transportation,internal_combustion_mw_direct_connected,internal_combustion_mw_total,combustion_turbine_mw_residential,combustion_turbine_mw_commercial,combustion_turbine_mw_industrial,combustion_turbine_mw_transportation,combustion_turbine_mw_direct_connected,combustion_turbine_mw_total,steam_mw_residential,steam_mw_commercial,steam_mw_industrial,steam_mw_transportation,steam_mw_direct_connected,steam_mw_total,other_mw_residential,other_mw_commercial,other_mw_industrial,other_mw_transportation,other_mw_direct_connected,other_mw_total,total_mw_residential,total_mw_commercial,total_mw_industrial,total_mw_transportation,total_mw_direct_connected,total_mw_total
2024,MN,349.0,46.219,31.733,4.47,A,0.254,3.249,0.021,0,0.65,4.174,0.008,0,0,0,0,0.008,0.016,0,0,0,0,0.016,0,0,0.09,0,1.658,1.748,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.472,36.167,2.5,0,0,40.139,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.15,0,0,0,0.15,1.734,39.566,2.611,0.0,2.308,46.219
2024,MO,239.0,37.162,9.946,1.622,A,0.071,23.168,3.46,,0.217,26.916,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,1.169,5.797,2,,,8.966,,0.98,,,,0.98,,,,,,0.0,,0.3,,,,0.3,1.24,30.245,5.46,0.0,0.217,37.162
2024,MS,347.0,9.386,0,3.68,A,2.142,1.767,0.054,0,1.238,5.201,,,,,,0.0,,,,,,0.0,0,0.002,0,0,0,0.002,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2.185,0,0,0,2.185,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1.998,0,0,0,1.998,2.142,5.952,0.054,0.0,1.238,9.386
2024,MT,48.0,6.769,0.33,0.33,A,0.1,0.124,,,0.371,0.595,,,,,,0.0,,,,,,0.0,,,,,2.175,2.175,,0.516,,,3.423,3.939,,,,,,0.0,,,,,,0.0,,0.06,,,,0.06,,,,,,0.0,,,,,,0.0,0.1,0.7,0.0,0.0,5.969,6.769
2024,NC,1758.0,225.025,42.303,12.876,A,11.049,45.598,0,0,1.083,57.73,0,0.25,,,,0.25,0,0,,,,0.0,0.001,0.112,0.015,0,0,0.128,0,13.067,0,0,0,13.067,0,0,0,0,0,0.0,0.551,43.869,102.25,0,5.54,152.21,0,1.22,0,0,0,1.22,0,0,0,0,0,0.0,0,0.42,0,0,0,0.42,11.601,104.536,102.265,0.0,6.623,225.025
2024,ND,38.0,1.775,,,A,0.119,0.734,,,,0.853,0.013,,,,,0.013,,,,,,0.0,0.002,,,,,0.002,,,,,,0.0,,,,,,0.0,,0.9,,,,0.9,,,,,,0.0,,,,,,0.0,0.007,,,,,0.007,0.141,1.634,0.0,0.0,0.0,1.775
2024,NE,131.0,20.838,9.115,1.115,A,0.723,3.467,1.407,0,5.363,10.96,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.012,0.02,0.004,0,0,0.036,0,0.002,0,0,0,0.002,0,0,0,0,0,0.0,0,8.025,1.815,0,0,9.84,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.735,11.514,3.226,0.0,5.363,20.838
2024,NH,18.0,6.97,0.8,,A,,0.554,,,,0.554,,,,,,0.0,,,,,,0.0,,,,,,0.0,,0.3,,,2.346,2.646,,,,,,0.0,,1.2,,,0.81,2.01,,1.145,,,,1.145,,0.615,,,,0.615,,,,,,0.0,0.0,3.814,0.0,0.0,3.156,6.97
2024,NJ,161341.0,38.118,0,0,A,0.38,7.776,0,0,29.507,37.663,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0.42,0.42,0,0.035,0,0,0,0.035,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.38,7.811,0.0,0.0,29.927,38.118
2024,NM,5.0,1.582,,0.798,A,,,,,1.582,1.582,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1.582,1.582
2024,NV,11.0,1.505,,,A,0.033,0.157,,,0.124,0.314,,,,,,0.0,,,,,,0.0,0.004,,,,,0.004,,1.187,,,,1.187,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.037,1.344,0.0,0.0,0.124,1.505
2024,NY,635.0,136.49,0.3,0.076,A,0.096,38.952,,,0.076,39.124,0.04,3.63,,,,3.67,,4.394,,,,4.394,0.01,0.5,,,,0.51,,1.8,,,,1.8,,,,,,0.0,,57.911,,,,57.911,,27.232,,,,27.232,,5.093,,,,5.093,,1.15,,,,1.15,0.146,136.268,0.0,0.0,0.076,136.49
2024,OH,56.0,7.609,0.2,2.673,A,0.136,0.127,0.001,0,1.734,1.998,0.003,0.25,0,0,0,0.253,0.009,0.25,0,0,0,0.259,0,2.55,0.01,0,0,2.56,,,,,,0.0,,,,,,0.0,0,1.198,0.85,0,0,2.048,,,,,,0.0,,,,,,0.0,,0.75,,,,0.75,0.139,4.875,0.861,0.0,1.734,7.609
2024,OK,29.0,7.533,3.15,4.817,A,0.017,0.35,0.862,,0.504,1.733,,,,,0.25,0.25,,,,,0.475,0.475,,,,,,0.0,,,,,,0.0,,,,,,0.0,,2.4,,,3.15,5.55,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.017,2.75,0.862,0.0,3.904,7.533
2024,OR,1906.0,67.11,11.728,7.442,A,8.042,23.581,1.088,,13.695,46.405,3.214,0.1,1.01,,,4.324,7.85,0.13,2.07,,,10.05,,,,,,0.0,,,,,2.738,2.738,,,,,,0.0,,0.8,11.55,,,12.35,,,,,1.013,1.013,,,,,0.28,0.28,,,,,,0.0,11.256,24.481,13.648,0.0,17.726,67.11
2024,PA,5.0,1.355,1.35,1.35,A,0,0.003,0,0,0,0.003,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.002,0,0,0,0,0.002,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1.35,0,0,1.35,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.002,0.003,1.35,0.0,0.0,1.355
2024,RI,7578.0,101.304,,,A,43.191,53.842,0.135,,,97.168,0.48,0.47,,,,0.95,,,,,,0.0,,,,,,0.0,,0.89,,,,0.89,,,,,,0.0,,1.221,0.08,,,1.301,0.002,0.633,0.36,,,0.995,,,,,,0.0,,,,,,0.0,43.673,57.056,0.575,0.0,0.0,101.304
2024,SC,272.0,65.344,8.175,3.205,A,0.508,19.485,5.724,0,0.504,26.221,0.086,0.012,0,0,0,0.098,0.2,0.014,0,0,0,0.214,0,0,0,0,0,0.0,0,1.45,0,0,1.65,3.1,0,0,0,0,0,0.0,6.5,11.425,0,0,16.8,34.725,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1.2,0,0,0,1.2,7.094,33.572,5.724,0.0,18.954,65.344
2024,SD,432.0,18.123,10.56,1.175,A,0.251,0.592,,,,0.843,0.059,0.115,,,,0.174,0.046,,,,,0.046,0.076,,,,,0.076,,,,,,0.0,,,,,,0.0,7.5,9.53,,,,17.03,,,,,,0.0,,,,,,0.0,,,,,,0.0,7.886,10.237,0.0,0.0,0.0,18.123
2024,TN,2567.0,60.582,0,0,A,17.958,39.616,0.03,0,0,57.604,,,,,,0.0,,,,,,0.0,0.031,0.015,0,0,0,0.046,0,0.009,0,0,0,0.009,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,2.923,0,0,0,2.923,17.989,42.563,0.03,0.0,0.0,60.582
2024,TX,223026.0,2221.599,5.669,12.085,A,1748.195,187.212,1.898,0,18.009,1955.313,184.126,2.987,0.015,0,0,187.128,204.733,2.872,0.016,0,0,207.621,1.36,2.19,0.014,0,0,3.564,0,0.112,0,0,0,0.112,0,0,0,0,0,0.0,0.29,71.386,0.56,0,1.252,73.488,0,0,0,0,0,0.0,0,0.4,0,0,0,0.4,0.613,0.981,0,0,0,1.594,1934.584,265.268,2.487,0.0,19.261,2221.599
2024,UT,60.0,7.77,0.8,1.8,A,0.244,0.14,,,1.579,1.964,0,0,,,0.25,0.25,,,,,0.25,0.25,,,,,,0.0,,,,,4.106,4.106,,,,,,0.0,,0.8,,,,0.8,,,,,,0.0,,,,,0.65,0.65,,,,,,0.0,0.244,0.94,0.0,0.0,6.585,7.77
2024,VA,72.0,14.569,1.855,7.578,A,0.173,0.212,0.066,0,4.698,5.149,0.115,3.36,,,,3.475,,,,,,0.0,0,0.01,0,0,0,0.01,0,0.51,0,0,1.81,2.32,0,0.6,0,0,0,0.6,0,2.2,0.75,0,0,2.95,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.065,0,0,0,0.065,0.288,6.957,0.816,0.0,6.508,14.569
2024,VT,7853.0,52.181,39.874,7.297,A,,0.978,,,1.483,2.461,39.905,0.03,,,,39.935,0.081,0.076,,,,0.157,,,,,0.048,0.048,,,,,4.757,4.757,,,,,,0.0,,,,,4.98,4.98,,,,,,0.0,,,,,,0.0,,,,,,0.0,39.905,1.008,0.0,0.0,11.268,52.181
2024,WA,472.0,139.059,126.9,3.879,A,0.554,6.144,,,0.415,7.113,,0.05,,,,0.05,,0.336,,,,0.336,,0.228,,,,0.228,,0.568,,,0.65,1.218,,,,,,0.0,,70.95,59.5,,,130.45,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.554,77.94,59.5,0.0,1.065,139.059
2024,WI,579.0,81.392,3,36.931,A,1.474,15.664,12.59,,0.571,30.299,0.076,0.565,0.206,,,0.847,,0.02,,,,0.02,0.1,0.324,0.911,,0.01,1.345,,3.237,0.465,,35.687,39.389,,0.4,,,,0.4,,0.174,3.5,,,3.674,,,,,,0.0,,,0.455,,,0.455,,2.045,2.938,,,4.983,1.65,22.409,21.065,0.0,36.268,81.392
2024,WV,2.0,0.326,,0,A,0.011,0,0,0,0,0.011,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,0,0,0.315,0,0,0.315,0.011,0.0,0.315,0.0,0.0,0.326
2024,WY,8.0,2.161,,,A,,,,,0.05,0.05,,,,,,0.0,,,,,,0.0,,,,,0.86,0.86,,0.95,,,0.225,1.175,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,0.076,0.076,,,,,,0.0,0.0,0.95,0.0,0.0,1.211,2.161
"Note: Data includes distributed generators less than 1 MW capacity, not net metered, and not reported on the EIA-860.
Source: U.S. Energy Information Administration, Form EIA-861, 'Annual Electric Power Industry Report.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
